Time (ms),ECG_Signal (mV),Filtered_ECG (mV),HRV (ms),P_Wave_Amplitude (mV),T_Wave_Amplitude (mV),QRS_Duration (ms),ST_Segment (mV),PR_Interval (ms),Label (Diabetes)
10,0.8745401188473625,0.8115667046150864,778.5117051207718,0.2509054491313347,0.3143991756567186,95.74542081109769,0.05930278163112879,123.103956378311,1
20,1.4507143064099162,1.4590944958855878,774.0936397216,0.26950220957870585,0.36108646585999726,98.93742637500085,-0.13104545515793353,134.94180225849036,0
30,1.231993941811405,1.3065831089866866,971.8763741563109,0.18757018481887483,0.3520321859580318,114.18189572808721,0.14895782534192598,186.49966440719538,0
40,1.0986584841970366,1.1451034614789488,774.8638599548518,0.24373111494104982,0.23077998093875474,93.60017544239568,0.045246495627696615,181.34146850706685,1
50,0.6560186404424365,0.7173308700147265,781.5849178385893,0.2357618974715623,0.2298498939482948,114.78598739248685,-0.1371184465772183,148.05141531657176,0
60,0.6559945203362026,0.6877511936783461,927.8194787253891,0.27492455651824066,0.2536348735489827,83.52537723906767,0.18493522299248272,150.144850221937,0
70,0.5580836121681995,0.59653892507177,834.921952735162,0.28591305907218906,0.27221494526820744,111.07193748834523,0.007346185334128258,162.68435468428635,1
80,1.366176145774935,1.436015276087999,933.0131670865544,0.15182351572160802,0.2816911162816965,113.90190532218946,-0.170840619251338,120.01928037481076,0
90,1.1011150117432087,1.0510486135150459,719.6098472693155,0.2511029878588189,0.33593944336666903,87.27270611349356,0.05073316176602688,139.29954688304224,0
100,1.2080725777960455,1.2059575705246737,846.2713581020153,0.15777536986795934,0.2113360864331671,97.21386129488802,-0.09872043719487592,136.65854468865714,0
110,0.5205844942958024,0.46482638265972287,710.0840800549848,0.23232879976160337,0.2069345408452133,86.61999098654623,0.12147738075092102,140.0386357399811,1
120,1.4699098521619942,1.5674434537613235,718.7959610366064,0.1931449093565517,0.2783821125887818,108.26416515976871,0.12712882942647624,184.4724674026753,0
130,1.3324426408004217,1.4212545087377444,971.9312360033233,0.19601648992832116,0.33943273842759614,101.41391072246627,0.19157894234186473,142.37390852371544,0
140,0.7123391106782762,0.6202244729519774,741.7736113352786,0.20294377551785348,0.23868706859129651,105.41293386833284,0.0007478124098014849,135.32170576401185,0
150,0.6818249672071006,0.7229400017102383,859.7262046825651,0.24319386735744153,0.32830089625125036,87.85947867824845,-0.01801724810890515,160.34107686344254,0
160,0.6834045098534338,0.768454173336567,823.3286807802119,0.20010749485031537,0.2519656275880599,88.46983448209679,0.10139024217859227,189.25160290981856,1
170,0.8042422429595377,0.7403573119850044,804.2029978776528,0.25990485758854204,0.3772172217627033,81.65989302039625,-0.14701173746322937,139.307976307,0
180,1.024756431632238,1.0383454777427639,969.9500037061817,0.21067910783608046,0.37913798885332334,92.88270140782919,0.018766205517249668,126.2828994234239,0
190,0.9319450186421158,1.0150426781597242,706.5470190326469,0.1602529800464938,0.2594574408562653,102.389786453347,0.018499040052340376,148.51237886797318,0
200,0.7912291401980419,0.6980183359152017,899.1369058526767,0.2675639763726161,0.2459987507926481,114.31739655989315,-0.16421075087584514,179.81214596519823,1
210,1.1118528947223796,1.1513369481717475,989.0183302640651,0.19286374868890588,0.28226079441324625,106.67709789834723,-0.03280636579723456,164.05524357558357,0
